City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,utrik,11.2278,169.8474,28.67,74,19,2.1,MH,1722667342
132,piton saint-leu,-21.2196,55.3151,22.44,78,75,7.72,RE,1722667343
133,hawaiian paradise park,19.5933,-154.9731,24.73,92,20,2.06,US,1722667345
134,kayangel,8.0823,134.7173,28.87,76,100,6.18,PW,1722667346
135,katabu,-4.9333,122.5167,31.37,47,47,1.78,ID,1722667347
136,new norfolk,-42.7826,147.0587,12.72,72,1,1.33,AU,1722667349
137,turpan,42.9333,89.1667,43.48,9,67,3.72,CN,1722667350
138,port saint john's,-31.6229,29.5448,18.9,54,0,2.2,ZA,1722667352
139,gaoual,11.75,-13.2,23.05,96,100,1.08,GN,1722667353
140,hasaki,35.7333,140.8333,34.05,70,14,3.51,JP,1722667354
141,namibe,-15.1961,12.1522,18.38,90,33,3.06,AO,1722667356
142,puerto ayora,-0.7393,-90.3518,19.75,87,47,1.79,EC,1722667357
143,lata,40.1629,-8.3327,16.15,78,0,1.43,PT,1722667359
144,chui,-33.6971,-53.4616,17.96,77,0,4.85,UY,1722667360
145,flying fish cove,-10.4217,105.6791,26.82,78,40,6.69,CX,1722667361
146,constantia,44.1833,28.65,28.38,58,100,8.1,RO,1722667363
147,stornoway,58.2093,-6.3865,12.98,91,20,6.69,GB,1722667364
148,lompoc,34.6391,-120.4579,14.96,95,0,2.57,US,1722667187
149,hamilton,39.1834,-84.5333,21.43,93,100,0.45,US,1722666662
150,nabire,-3.3667,135.4833,28.1,82,34,1.43,ID,1722667368
151,blackmans bay,-43.0167,147.3167,12.07,66,2,2.73,AU,1722667370
152,bull savanna,17.8868,-77.5902,24.52,87,80,4.12,JM,1722667371
153,wanning,18.8003,110.3967,31.52,69,11,5.71,CN,1722667373
154,mitsamiouli,-11.3847,43.2844,25.68,60,0,4.12,KM,1722667374
155,sturgis,41.7992,-85.4192,20.89,98,100,0.51,US,1722667375
156,as sulayyil,20.4607,45.5779,36.14,12,78,6.33,SA,1722667377
157,ilhabela,-23.7781,-45.3581,19.15,90,7,2.28,BR,1722667378
158,khorixas,-20.3667,14.9667,21.72,17,0,2.12,NA,1722667380
159,coronel oviedo,-25.4167,-56.45,25.46,33,0,5.29,PY,1722667381
160,bamnet narong,15.4992,101.6897,25.68,88,100,3.93,TH,1722667382
161,cabo san lucas,22.8909,-109.9124,31.45,78,32,3.97,MX,1722667384
162,portland,45.5234,-122.6762,23.38,73,0,1.79,US,1722666818
163,ust-nera,64.5667,143.2,13.13,51,100,1.86,RU,1722667387
164,antofagasta,-23.65,-70.4,12.6,76,0,2.22,CL,1722667209
165,alice springs,-23.7,133.8833,23.75,20,40,5.66,AU,1722667389
166,torghay,49.6339,63.4981,31.14,20,6,5.86,KZ,1722667391
167,port augusta,-32.5,137.7667,15.58,59,100,3.93,AU,1722667392
168,aykhal,66.0,111.5,21.15,37,100,5.05,RU,1722667394
169,uturoa,-16.7333,-151.4333,24.49,64,89,5.84,PF,1722667395
170,qaqortoq,60.7167,-46.0333,6.93,74,0,1.33,GL,1722667398
171,talnakh,69.4865,88.3972,22.44,40,2,3.29,RU,1722667399
172,kenora,49.8167,-94.4337,22.54,53,20,2.57,CA,1722667401
